Id,name,addr1,addr2,latitude,longitude
50,피피케이크샵,경기 수원시 팔달구 세류로75번길 17 1층,(지번) 매산로3가 100-2,37.2666776519981,127.008029777049
51,레벨리케이크,경기 수원시 팔달구 중부대로 80 인계한양수자인 101동 110호,(지번) 인계동 1170,37.2757960248275,127.024799425288
52,소유케이크,경기 수원시 영통구 광교호수공원로 277 어뮤즈스퀘어 지하2층 109호,(지번) 원천동 589,37.2839417579058,127.056777997528
53,위즈덤케이크,경기 수원시 권선구 오목천로152번길 60 고색리치아노 1층 123호,(지번) 고색동 948,37.2420889623076,126.977729636063
54,두잉케이크,경기 수원시 영통구 광교중앙로 234 드림타워V (5차) 2층 204호,(지번) 하동 987-1,37.2916860832189,127.065842407996
55,할로다니케이크,경기 수원시 팔달구 팔달문로 152 1층,(지번) 우만동 552-3,37.2827034931453,127.03257821206
56,너만을위한케이크,경기 수원시 영통구 광교중앙로 234 드림타워5,(지번) 하동 987-1,37.2916860832189,127.065842407996
57,새미케이크,경기 용인시 수지구 광교중앙로 294 엘리치안 1층 105호,(지번) 상현동 1133,37.2960781337945,127.069256812129
58,케이크에이드,경기 수원시 영통구 에듀타운로 101 에듀하임1309오피스텔 102동 1층 101호,(지번) 이의동 1352,37.2899090489911,127.044854444992
59,온설케이크,경기 수원시 팔달구 고등로59번길 9 1층 101호,(지번) 고등동 124,37.2737596976419,127.0034495962
60,모모리케이크,경기 수원시 영통구 에듀타운로 101 에듀하임1309오피스텔 103동 119호,(지번) 이의동 1352,37.2899090489911,127.044854444992
61,윤2케이크,경기 수원시 영통구 에듀타운로 101 에듀하임1309오피스텔 102동 1층 101호,(지번) 이의동 1352,37.2899090489911,127.044854444992
62,라네케이크,경기 수원시 영통구 광교중앙로 234 501호,(지번) 하동 987-1,37.2916860832189,127.065842407996
63,지혜네 케이크숍,경기 수원시 영통구 센트럴타운로 107 지하1층 42호 (시계탑 광장),(지번) 이의동 1331,37.2926192488137,127.048147267575
64,레피다케이크,경기 수원시 팔달구 월드컵로369번길 33-22 1층 101호,(지번) 우만동 477-16,37.288485004826,127.029501118839
65,오늘1307,경기 화성시 동탄시범한빛길 15 103호,(지번) 반송동 22-6,37.2082569743431,127.066468526291
66,빨간머리앤,경기 화성시 동탄공원로2길 27-11 1층,(지번) 반송동 52-8,37.2066070005822,127.061750973296
67,스위트핑거,경기 화성시 동탄공원로3길 5-2,(지번) 반송동 51-3,37.2070508498108,127.060545293464
68,카페라플뤼,경기 화성시 동탄공원로3길 18 1층,(지번) 반송동 49-1,37.2077770234037,127.061213787706
69,포제이,경기 화성시 동탄공원로1길 20 1층,(지번) 반송동 65-1,37.2029787225677,127.060028492388
