Id,name,addr1,addr2
32,레터인케이크,경기 화성시 왕배산2길 4-10 103호 레터인케이크,(지번) 목동 458-1
33,달링케이크,경기 수원시 영통구 매탄로 49 1층,(지번) 매탄동 1170
34,로로케이크,경기 화성시 동탄장지천5길 4-14 102호,(지번) 장지동 960-4
35,담케이크,경기 오산시 오산로 181 1층,(지번) 오산동 884-12
36,요를레이케이크,경기 수원시 팔달구 효원로308번길 58-9 트윈파크오피스텔 A동 1층,(지번) 인계동 1134-4
37,제이스토리케이크,경기 수원시 팔달구 중부대로 245 1층,(지번) 우만동 88-3
38,하뚜케이크,경기 수원시 팔달구 경수대로428번길 31 덕수빌딩 1층 103호,(지번) 인계동 1027-5
39,모잉케이크,경기 수원시 권선구 권중로50번길 47 1층,(지번) 권선동 1249-4
40,클레르케이크,경기 수원시 영통구 매탄로140번길 54-18 1층 104호,(지번) 매탄동 1253-1
41,이숲케이크,경기 수원시 팔달구 효원로235번길 50 정석타워 2층 201호,(지번) 인계동 1031-14
42,우주케이크,경기 수원시 권선구 세지로82번길 6 1층,(지번) 권선동 999-19
43,미도리케이크,경기 수원시 권선구 세권로 60 1층,(지번) 세류동 470-9
44,케잌집,경기 수원시 팔달구 장다리로 170,(지번) 인계동 1011-1
45,피우리플라워떡케이크,경기 오산시 성산새싹길 5 1층,(지번) 오산동 533-5
46,킥킥케이크 오산점,경기 오산시 원동로 6,(지번) 원동 841
47,세이더케이크,경기 수원시 팔달구 중부대로223번길 20-7 1층,(지번) 우만동 95-1
48,슈케익하우스 수원본점,경기 수원시 팔달구 향교로 36 1층,(지번) 매산로2가 38-1
49,사라진케이크,경기 수원시 영통구 광교호수공원로 277 중흥어뮤즈스퀘어 지하2층 106호,(지번) 원천동 589
50,피피케이크샵,경기 수원시 팔달구 세류로75번길 17 1층,(지번) 매산로3가 100-2
51,레벨리케이크,경기 수원시 팔달구 중부대로 80 인계한양수자인 101동 110호,(지번) 인계동 1170
52,소유케이크,경기 수원시 영통구 광교호수공원로 277 어뮤즈스퀘어 지하2층 109호,(지번) 원천동 589
53,위즈덤케이크,경기 수원시 권선구 오목천로152번길 60 고색리치아노 1층 123호,(지번) 고색동 948
54,두잉케이크,경기 수원시 영통구 광교중앙로 234 드림타워V (5차) 2층 204호,(지번) 하동 987-1
55,할로다니케이크,경기 수원시 팔달구 팔달문로 152 1층,(지번) 우만동 552-3
56,너만을위한케이크,경기 수원시 영통구 광교중앙로 234 드림타워5,(지번) 하동 987-1
57,새미케이크,경기 용인시 수지구 광교중앙로 294 엘리치안 1층 105호,(지번) 상현동 1133
58,케이크에이드,경기 수원시 영통구 에듀타운로 101 에듀하임1309오피스텔 102동 1층 101호,(지번) 이의동 1352
59,온설케이크,경기 수원시 팔달구 고등로59번길 9 1층 101호,(지번) 고등동 124
60,모모리케이크,경기 수원시 영통구 에듀타운로 101 에듀하임1309오피스텔 103동 119호,(지번) 이의동 1352
61,윤2케이크,경기 수원시 영통구 에듀타운로 101 에듀하임1309오피스텔 102동 1층 101호,(지번) 이의동 1352
62,라네케이크,경기 수원시 영통구 광교중앙로 234 501호,(지번) 하동 987-1
63,지혜네 케이크숍,경기 수원시 영통구 센트럴타운로 107 지하1층 42호 (시계탑 광장),(지번) 이의동 1331
64,레피다케이크,경기 수원시 팔달구 월드컵로369번길 33-22 1층 101호,(지번) 우만동 477-16
65,오늘1307,경기 화성시 동탄시범한빛길 15 103호,(지번) 반송동 22-6
66,빨간머리앤,경기 화성시 동탄공원로2길 27-11 1층,(지번) 반송동 52-8
67,스위트핑거,경기 화성시 동탄공원로3길 5-2,(지번) 반송동 51-3
68,카페라플뤼,경기 화성시 동탄공원로3길 18 1층,(지번) 반송동 49-1
69,포제이,경기 화성시 동탄공원로1길 20 1층,(지번) 반송동 65-1
70,민스커피,경기 화성시 동탄반송2길 25-2,(지번) 반송동 30-7
71,이찌고,경기 화성시 동탄반송길 6,(지번) 반송동 34-11
72,설탕 만들기,경기 화성시 동탄공원로3길 18-5 101호,(지번) 반송동 45-7
73,제이델링,경기 화성시 동탄공원로3길 18-20,(지번) 반송동 49-8
74,미아도르디저트,경기 화성시 동탄반송3길 40-13 1층 101호,(지번) 반송동 16-9
75,자매케키,경기 화성시 동탄공원로3길 18-8 101호,(지번) 반송동 49-3
76,봉구미당,경기 화성시 동탄공원로1길 8-21 1층 103호,(지번) 반송동 68-12
77,엔젤스가든,경기 화성시 노작로3길 29-1,(지번) 반송동 131-6
78,로이,경기 화성시 노작로4길 22-23 1층,(지번) 반송동 111-4
